Original Entry Date,Task,Description,Employee Number,Employee Name,Expense Comment,Quantity Reg,Cost Reg,Billing Price Reg,Open Billing Price,Billing Price Inv,Closed,Origin,Entry Type,Activity Number
05/10/2023,700,"Integer a nibh. In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet. Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui. Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam.",166658,Bogart Poter,,10.0,947.21,0,0,0,true,Time Sheet,Registration,750
28/05/2024,700,"Nulla mollis molestie lorem. Quisque ut erat. Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",163496,Dasha Drewe,,1.7,137.9,0,0,0,true,Time Sheet,Registration,750
04/07/2023,200,"Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti.",163656,Juieta Kobu,,8.0,205.5,0,0,0,true,Time Sheet,Registration,750
14/09/2023,100,"Duis mattis egestas metus. Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique.",163356,Lettie Perchard,,1.5,899.17,0,0,0,true,Time Sheet,Registration,750
31/05/2024,700,"Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis. Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.",164751,Lynne Trainer,,8.5,973.91,0,0,0,true,Time Sheet,Registration,750
29/04/2023,700,"Aliquam non mauris. Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis. Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl.",163755,Coleen Marty,,5.5,404.57,0,0,0,true,Time Sheet,Registration,750
31/05/2023,200,Etiam faucibus cursus urna. Ut tellus. Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.,164911,Lettie Prescott,,3.0,613.7,0,0,0,true,Time Sheet,Registration,750
06/02/2024,700,Cras non velit nec nisi vulputate nonummy.,162032,Jonis Fay,,3.1,293.08,0,0,0,true,Time Sheet,Registration,750
09/05/2024,400,"Suspendisse accumsan tortor quis turpis. Sed ante. Vivamus tortor. Duis mattis egestas metus. Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",163959,Corbett Kenworthey,,7.5,988.53,0,0,0,true,Time Sheet,Registration,750
09/09/2023,200,"Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat. Nulla nisl. Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa.",162350,Giacobo Mahomet,,10.0,321.78,0,0,0,true,Time Sheet,Registration,750
05/04/2023,100,Etiam pretium iaculis justo.,164296,Benedicto MacKnocker,,2.5,755.43,0,0,0,true,Time Sheet,Registration,750
10/07/2024,400,Suspendisse potenti.,169910,Molli Goulborne,,0.1,439.85,0,0,0,true,Time Sheet,Registration,750
08/07/2024,200,"Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus. Phasellus in felis. Donec semper sapien a libero. Nam dui.",168119,Vance Dubbin,,1.9,335.58,0,0,0,true,Time Sheet,Registration,750
17/11/2023,400,"Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.",168091,Salome Bartels-Ellis,,5.8,820.56,0,0,0,true,Time Sheet,Registration,750
04/02/2024,400,Suspendisse potenti.,165579,Dacey Fitzpatrick,,5.5,532.01,0,0,0,true,Time Sheet,Registration,750
13/09/2023,400,"Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat. Nulla nisl.",169580,Pooh Wylam,,10.9,470.79,0,0,0,true,Time Sheet,Registration,750
07/04/2024,200,In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus. Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi. Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit.,160340,Rae Labon,,1.6,484.48,0,0,0,true,Time Sheet,Registration,750
25/06/2023,700,"Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.",162263,Aurore Sexon,,5.4,103.4,0,0,0,true,Time Sheet,Registration,750
04/08/2023,700,Fusce consequat. Nulla nisl.,163357,Jude Trenbey,,5.8,689.15,0,0,0,true,Time Sheet,Registration,750
04/11/2023,700,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.,162060,Wallie Brampton,,6.2,497.36,0,0,0,true,Time Sheet,Registration,750
05/07/2024,200,"Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque. Duis bibendum. Morbi non quam nec dui luctus rutrum.",165971,Mufinella Hugett,,1.0,611.72,0,0,0,true,Time Sheet,Registration,750
07/06/2024,200,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam.",168585,Osborne Quye,,7.1,874.02,0,0,0,true,Time Sheet,Registration,750
02/07/2023,200,"Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",166799,Charlotta Boken,,5.2,193.79,0,0,0,true,Time Sheet,Registration,750
20/04/2023,700,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus. Phasellus in felis. Donec semper sapien a libero.",166416,Mike Quig,,10.7,331.16,0,0,0,true,Time Sheet,Registration,750
24/05/2023,700,In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat. Curabitur gravida nisi at nibh. In hac habitasse platea dictumst.,161764,Shirl Beincken,,8.3,159.07,0,0,0,true,Time Sheet,Registration,750
28/08/2023,400,"Pellentesque ultrices mattis odio. Donec vitae nisi. Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.",167060,Rafaellle Vorley,,7.7,596.85,0,0,0,true,Time Sheet,Registration,750
08/04/2024,100,"Proin at turpis a pede posuere nonummy. Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi.",169656,Audrye Crittal,,7.2,380.28,0,0,0,true,Time Sheet,Registration,750
19/04/2024,400,Proin eu mi. Nulla ac enim.,169800,Alyda Craggs,,10.6,651.18,0,0,0,true,Time Sheet,Registration,750
05/06/2023,100,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque. Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus. In sagittis dui vel nisl.",162220,Lennie Wort,,0.3,881.62,0,0,0,true,Time Sheet,Registration,750
10/05/2023,100,"Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat. In congue. Etiam justo. Etiam pretium iaculis justo. In hac habitasse platea dictumst. Etiam faucibus cursus urna.",167246,Thorvald Wasselin,,0.6,353.06,0,0,0,true,Time Sheet,Registration,750
22/03/2024,100,"Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.",161943,Ad Burkwood,,11.0,639.86,0,0,0,true,Time Sheet,Registration,750
03/06/2024,700,"Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.",160727,Raymond Lawrinson,,0.2,537.02,0,0,0,true,Time Sheet,Registration,750
29/11/2023,400,"Morbi non quam nec dui luctus rutrum. Nulla tellus. In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt.",160269,Freddy Glasscoo,,1.3,552.78,0,0,0,true,Time Sheet,Registration,750
12/06/2024,700,In blandit ultrices enim.,161327,Bethany Knell,,9.3,148.57,0,0,0,true,Time Sheet,Registration,750
20/09/2023,700,Aliquam erat volutpat. In congue. Etiam justo. Etiam pretium iaculis justo. In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus. Nulla ut erat id mauris vulputate elementum. Nullam varius.,169883,Gusella Bertin,,8.4,915.8,0,0,0,true,Time Sheet,Registration,750
17/05/2024,400,"Vivamus in felis eu sapien cursus vestibulum. Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem. Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue.",163844,Barton Ashdown,,2.6,972.99,0,0,0,true,Time Sheet,Registration,750
12/04/2023,400,Nulla justo. Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis. Sed ante. Vivamus tortor. Duis mattis egestas metus. Aenean fermentum.,160635,Seumas Girdlestone,,1.7,95.76,0,0,0,true,Time Sheet,Registration,750
11/02/2024,400,"Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",166103,Evita Wasmer,,1.6,874.84,0,0,0,true,Time Sheet,Registration,750
02/06/2023,400,In congue. Etiam justo. Etiam pretium iaculis justo. In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus. Nulla ut erat id mauris vulputate elementum. Nullam varius.,165692,Meredith Millhouse,,0.6,256.23,0,0,0,true,Time Sheet,Registration,750
09/07/2024,100,Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi. Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.,161015,Kelly Dufty,,0.1,565.23,0,0,0,true,Time Sheet,Registration,750
